,Deaths,Years of Potential Life Lost Rate,% With Access to Exercise Opportunities,% Driving Deaths with Alcohol Involvement,Chlamydia Rate,Primary Care Physicians Rate,% With Annual Mammogram,High School Graduation Rate,Social Association Rate,Violent Crime Rate,Average Daily PM2.5,% Severe Housing Problems,% Drive Alone to Work,% Long Commute - Drives Alone,Life Expectancy,Child Mortality Rate,HIV Prevalence Rate,Drug Overdose Mortality Rate,% Uninsured,% Disconnected Youth,Average Reading Performance,Black/White Segregation Index,Suicide Rate (Age-Adjusted),Juvenile Arrest Rate,% less than 18 years of age,% American Indian & Alaska Native,% Asian,% Native Hawaiian/Other Pacific Islander,% Hispanic,% Female,internet_ratio,Hypertension Death Rate,class
2589,1677.0,5089.6614926,72.410522765,38.759689922,654.1,43.35968,37.0,88.0,5.921159987899999,243.6988122,10.3,20.722891565999998,78.570381876,49.9,80.440354175,38.713473836999995,179.8,9.5076887588,19.177147097,6.7096155163999995,2.9016016577999997,39.409104333,13.476526142,21.538461538000004,22.989161438000004,1.2320835823,1.7180895742,0.1369979922,39.62431108,50.25131271,0.89,244.9,1
2590,52.0,7539.746608399999,85.657998424,0.0,149.1,99.40358,36.0,98.4,17.395626243,324.22417786,6.9,9.4545454545,71.556256572,13.4,77.613935879,0.0,0.0,0.0,27.34375,0.0,3.1295102231,0.0,0.0,0.0,30.745098039000002,1.7777777778,1.3071895425,0.1307189542,34.169934641,49.803921568999996,0.76,324.9,1
2591,1671.0,11016.889837,62.939948047,30.379746835,333.1,30.83983,41.0,95.6,10.978979572,339.83740865,10.4,12.925969448,82.087537759,41.9,74.69423222,76.068547808,162.2,16.031965272,24.992274754,9.0759075908,2.9456681434,46.582010106000006,21.79389174,8.857142857100001,21.53610615,0.9465485606999999,0.7229735477,0.10085177220000001,13.318509338,51.094180974,0.74,404.5,0
2592,6490.0,5609.148247,59.301675725,33.647798742,475.3,44.96544,34.0,89.9,3.5670258092,312.42608627,9.4,26.310583581,80.323252462,21.9,82.09747902,40.964497141,197.6,3.4543748882,42.397494784,8.6995376974,2.8259124926,76.266544469,6.6066849851,11.757741348,32.561762434,0.534564213,1.0602363445999998,0.0441139618,92.37544446,50.980149872,0.58,169.1,1
2593,623.0,9032.071124099999,51.65151472,13.846153845999998,276.1,22.31396,38.0,96.9,10.878054223,170.7366065,10.1,15.657946115,80.25570145100001,40.3,76.35059709999999,57.060484113,112.7,13.981711920999999,24.80344915,8.5106382979,2.6981530411000003,45.731384765,24.767538134000002,14.857142857000001,23.367442372,0.9572536722,0.6436705727,0.1485393629,21.386917533,50.173295923000005,0.62,321.5,0
2594,321.0,8548.623826899999,65.798997166,39.130434783000005,524.1,56.30631,31.0,88.3,12.127512128,447.63513514,7.5,11.474398519000001,78.33956325,26.2,76.57456019,57.889513728000004,74.5,0.0,25.071028181,6.6624365482000005,2.820163122,46.58581355,16.963292596,12.5,25.739773716,1.3577023499,0.5613577022999999,0.0652741514,48.664055701,50.139251523,0.51,381.1,1
2595,875.0,7930.3227541999995,72.65444883,14.285714286,267.7,53.197880000000005,49.0,93.5,10.124757606000001,175.56179775,9.6,12.99904943,88.01400194,51.2,78.366582113,51.141477783999996,104.0,13.092954283,19.882780149000002,14.186046512,2.9263710272,74.872232212,19.183859738,27.2,21.317541337999998,0.9580917455,0.9085352759,0.0792903514,12.919371624000002,51.10263144899999,0.87,329.4,1
2596,580.0,8562.9069363,41.361167202,11.764705882000001,391.8,24.66024,34.0,95.1,9.8640946953,146.7453,10.1,14.705882353,84.849648113,26.4,76.65833077399999,46.833246095,151.3,0.0,25.780798149000002,8.4803642573,2.8039154837,44.81549393,20.084379238,12.702702703,24.63461016,0.9807117631000001,0.7117631079000001,0.1276826949,17.397446346,50.763379516,0.6,202.6,1
2597,409.0,9538.427135200001,56.480701163,26.666666666999998,317.1,17.37544,29.0,95.9,11.29403588,213.53409941,9.8,16.909975669,86.613398894,36.6,76.168786606,0.0,701.5,0.0,23.619909502,22.174840085,0.0,45.425761125,17.781552982,16.111111111,19.854115413,0.6646812551,0.8459579611,0.0086322241,11.467909707,46.544952306999996,0.55,296.3,0
2598,597.0,10181.669124,81.983320005,18.181818182,410.7,30.52164,26.0,89.8,11.376248613,607.39104671,7.5,12.689225289000001,80.269967828,19.5,74.301704898,62.741161338999994,452.7,12.819691045,22.005896423000003,8.9655172414,2.6335375047,47.378925877,25.704672155999997,21.724137930999998,21.44052223,1.6868262980000002,1.198606654,0.08776982359999999,43.116925861999995,42.494308675,0.68,520.3,0
